scenario,flowId,txPackets,rxPackets,lostPackets,delaySum,jitterSum,throughput,zone_label
Urban,342,0,0,0,0.0,0.0,0.0,1
Urban,343,0,0,0,0.0,0.0,0.0,1
Urban,344,0,0,0,0.0,0.0,0.0,1
Urban,345,0,0,0,0.0,0.0,0.0,1
Urban,346,0,0,0,0.0,0.0,0.0,1
Urban,347,0,0,0,0.0,0.0,0.0,1
Urban,348,0,0,0,0.0,0.0,0.0,1
Urban,349,0,0,0,0.0,0.0,0.0,1
Urban,350,0,0,0,0.0,0.0,0.0,1
Urban,351,0,0,0,0.0,0.0,0.0,1
Urban,352,0,0,0,0.0,0.0,0.0,1
Urban,353,0,0,0,0.0,0.0,0.0,1
Urban,354,0,0,0,0.0,0.0,0.0,1
Urban,355,0,0,0,0.0,0.0,0.0,1
Urban,356,0,0,0,0.0,0.0,0.0,1
Urban,357,0,0,0,0.0,0.0,0.0,1
Urban,358,0,0,0,0.0,0.0,0.0,1
Urban,359,0,0,0,0.0,0.0,0.0,1
Urban,360,0,0,0,0.0,0.0,0.0,1
Urban,361,0,0,0,0.0,0.0,0.0,1
Urban,362,0,0,0,0.0,0.0,0.0,1
Urban,363,0,0,0,0.0,0.0,0.0,1
Urban,364,0,0,0,0.0,0.0,0.0,1
Urban,365,0,0,0,0.0,0.0,0.0,1
Urban,366,0,0,0,0.0,0.0,0.0,1
Urban,367,0,0,0,0.0,0.0,0.0,1
Urban,368,0,0,0,0.0,0.0,0.0,1
Urban,369,0,0,0,0.0,0.0,0.0,1
Urban,370,0,0,0,0.0,0.0,0.0,1
Urban,371,0,0,0,0.0,0.0,0.0,1
Urban,372,0,0,0,0.0,0.0,0.0,1
Urban,373,0,0,0,0.0,0.0,0.0,1
Urban,374,0,0,0,0.0,0.0,0.0,1
Urban,375,0,0,0,0.0,0.0,0.0,1
Urban,376,0,0,0,0.0,0.0,0.0,1
Urban,377,0,0,0,0.0,0.0,0.0,1
Urban,378,0,0,0,0.0,0.0,0.0,1
Urban,379,0,0,0,0.0,0.0,0.0,1
Urban,380,0,0,0,0.0,0.0,0.0,1
Urban,381,0,0,0,0.0,0.0,0.0,1
Urban,382,0,0,0,0.0,0.0,0.0,1
Urban,383,0,0,0,0.0,0.0,0.0,1
Urban,384,0,0,0,0.0,0.0,0.0,1
Urban,385,0,0,0,0.0,0.0,0.0,1
Urban,386,0,0,0,0.0,0.0,0.0,1
Urban,387,0,0,0,0.0,0.0,0.0,1
Urban,388,0,0,0,0.0,0.0,0.0,1
Urban,389,0,0,0,0.0,0.0,0.0,1
Urban,390,0,0,0,0.0,0.0,0.0,1
Urban,391,0,0,0,0.0,0.0,0.0,1
Urban,392,0,0,0,0.0,0.0,0.0,1
Urban,393,0,0,0,0.0,0.0,0.0,1
Urban,394,0,0,0,0.0,0.0,0.0,1
Urban,395,0,0,0,0.0,0.0,0.0,1
Urban,396,0,0,0,0.0,0.0,0.0,1
Urban,397,0,0,0,0.0,0.0,0.0,1
Urban,398,0,0,0,0.0,0.0,0.0,1
Urban,399,0,0,0,0.0,0.0,0.0,1
Urban,400,0,0,0,0.0,0.0,0.0,1
Urban,401,0,0,0,0.0,0.0,0.0,1
Urban,402,0,0,0,0.0,0.0,0.0,1
Urban,403,0,0,0,0.0,0.0,0.0,1
Urban,404,0,0,0,0.0,0.0,0.0,1
Urban,405,0,0,0,0.0,0.0,0.0,1
Urban,406,0,0,0,0.0,0.0,0.0,1
Urban,407,0,0,0,0.0,0.0,0.0,1
Urban,408,0,0,0,0.0,0.0,0.0,1
Urban,409,0,0,0,0.0,0.0,0.0,1
Urban,410,0,0,0,0.0,0.0,0.0,1
Urban,411,0,0,0,0.0,0.0,0.0,1
Urban,412,0,0,0,0.0,0.0,0.0,1
Urban,413,0,0,0,0.0,0.0,0.0,1
Urban,414,0,0,0,0.0,0.0,0.0,1
Urban,415,0,0,0,0.0,0.0,0.0,1
Urban,416,0,0,0,0.0,0.0,0.0,1
Urban,417,0,0,0,0.0,0.0,0.0,1
Urban,418,0,0,0,0.0,0.0,0.0,1
Urban,419,0,0,0,0.0,0.0,0.0,1
Urban,420,0,0,0,0.0,0.0,0.0,1
Urban,421,0,0,0,0.0,0.0,0.0,1
Urban,422,0,0,0,0.0,0.0,0.0,1
Urban,423,0,0,0,0.0,0.0,0.0,1
Urban,424,0,0,0,0.0,0.0,0.0,1
Urban,425,0,0,0,0.0,0.0,0.0,1
Urban,426,0,0,0,0.0,0.0,0.0,1
Urban,427,0,0,0,0.0,0.0,0.0,1
Urban,428,0,0,0,0.0,0.0,0.0,1
Urban,429,0,0,0,0.0,0.0,0.0,1
Urban,430,0,0,0,0.0,0.0,0.0,1
Urban,431,0,0,0,0.0,0.0,0.0,1
Urban,432,0,0,0,0.0,0.0,0.0,1
Urban,433,0,0,0,0.0,0.0,0.0,1
Urban,434,0,0,0,0.0,0.0,0.0,1
Urban,435,0,0,0,0.0,0.0,0.0,1
Urban,436,0,0,0,0.0,0.0,0.0,1
Urban,437,0,0,0,0.0,0.0,0.0,1
Urban,438,0,0,0,0.0,0.0,0.0,1
Urban,439,0,0,0,0.0,0.0,0.0,1
Urban,440,0,0,0,0.0,0.0,0.0,1
Urban,441,0,0,0,0.0,0.0,0.0,1
Urban,442,0,0,0,0.0,0.0,0.0,1
Urban,443,0,0,0,0.0,0.0,0.0,1
Urban,444,0,0,0,0.0,0.0,0.0,1
Urban,445,0,0,0,0.0,0.0,0.0,1
Urban,446,0,0,0,0.0,0.0,0.0,1
Urban,447,0,0,0,0.0,0.0,0.0,1
Urban,448,0,0,0,0.0,0.0,0.0,1
